,Discipline,Language,Edited by,Publication details,History,Publisher,Frequency,Impact factor,Standard abbreviations ISO 4 ( alt ) · Bluebook ( alt1 · alt2 ) NLM ( alt ) · MathSciNet ( alt ),ISO 4,Indexing CODEN · JSTOR ( alt ) · LCCN ( alt ) MIAR · NLM ( alt ) · Scopus,CODEN,ISSN,LCCN,OCLC no.,Links,title,description,Standard abbreviations ISO 4 ( alt ) · Bluebook ( alt1 · alt2 ) NLM · MathSciNet,Former name(s),Open access,NLM,License,Editor,Categories,Year founded,Country,Website,OCLC,Indexing CODEN · JSTOR · LCCN MIAR · NLM · Scopus
10,Chemistry,English,,English,1904-2013,Royal Institute of Chemistry (United Kingdom),Annually,,Annually,Annu. Rep. Prog. Chem.,Annu. Rep. Prog. Chem.,(A: CSAAAE; B: CACBB4; C: ACPCDW) ARPCAW (A: CSAAAE; B: CACBB4; C: ACPCDW),0260-1826 (print)1460-4787 (web),07013499,,0260-1826 (print)1460-4787 (web),Annual Reports on the Progress of Chemistry,"Annual Reports on the Progress of Chemistry was a yearly review journal published by the Royal Institute of Chemistry and after 1980 the Royal Society of Chemistry. It was established in 1904. In 1967 the journal was split into two sections, A and B, covering inorganic and organic chemistry, respectively. In 1980, a third series was started, C, covering physical chemistry. The journal was discontinued in 2013.
",,,,,,,,,,,,
11,Chemistry,English,,English,1904-2013,Royal Institute of Chemistry (United Kingdom),Annually,,Annually,Annu. Rep. Prog. Chem.,Annu. Rep. Prog. Chem.,(A: CSAAAE; B: CACBB4; C: ACPCDW) ARPCAW (A: CSAAAE; B: CACBB4; C: ACPCDW),0260-1826 (print)1460-4787 (web),07013499,,0260-1826 (print)1460-4787 (web),Annual Reports on the Progress of Chemistry,"Annual Reports on the Progress of Chemistry was a yearly review journal published by the Royal Institute of Chemistry and after 1980 the Royal Society of Chemistry. It was established in 1904. In 1967 the journal was split into two sections, A and B, covering inorganic and organic chemistry, respectively. In 1980, a third series was started, C, covering physical chemistry. The journal was discontinued in 2013.
",,,,,,,,,,,,
12,Chemistry,English,,English,1904-2013,Royal Institute of Chemistry (United Kingdom),Annually,,Annually,Annu. Rep. Prog. Chem.,Annu. Rep. Prog. Chem.,(A: CSAAAE; B: CACBB4; C: ACPCDW) ARPCAW (A: CSAAAE; B: CACBB4; C: ACPCDW),0260-1826 (print)1460-4787 (web),07013499,,0260-1826 (print)1460-4787 (web),Annual Reports on the Progress of Chemistry,"Annual Reports on the Progress of Chemistry was a yearly review journal published by the Royal Institute of Chemistry and after 1980 the Royal Society of Chemistry. It was established in 1904. In 1967 the journal was split into two sections, A and B, covering inorganic and organic chemistry, respectively. In 1980, a third series was started, C, covering physical chemistry. The journal was discontinued in 2013.
",,,,,,,,,,,,
13,Analytical chemistry,English,Paul W. BohnNancy L. Allbritton,Paul W. BohnNancy L. Allbritton,"2008–present, 13 years old",Annual Reviews (US),Annually,10.745[1] (2020),10.745[1] (2020),Annu. Rev. Anal. Chem.,Annu. Rev. Anal. Chem.,ARACFU,1936-1327 (print)1936-1335 (web),2007215104,85479636,85479636,Annual Review of Analytical Chemistry,"The Annual Review of Analytical Chemistry is a peer-reviewed academic journal that publishes an annual volume of review articles relevant to analytical chemistry. It was established in 2008 and is published by Annual Reviews.
",,,,,,,,,,,,
14,Biochemistry,English,Roger D. Kornberg,Roger D. Kornberg,"1932–present, 89 years old",Annual Reviews (US),Annually,23.643[1] (2020),23.643[1] (2020),Annu. Rev. Biochem.,Annu. Rev. Biochem.,ARBOAW,0066-4154 (print)1545-4509 (web),,,0066-4154 (print)1545-4509 (web),Annual Review of Biochemistry,"Annual Review of Biochemistry is an annual peer reviewed scientific journal published by Annual Reviews, a nonprofit scientific publisher. Its first volume was published in 1932, and its founding editor was J. Murray Luck. The current editor is Roger D. Kornberg. The journal focuses on molecular biology and biological chemistry review articles. As of 2021, Journal Citation Reports gives the journal an impact factor of 23.643, ranking it fourth out of 298 journals in the category ""Biochemistry and Molecular Biology"".[1]
",,,,,,,,,,,,
15,Physical chemistry,English,"Mark A. Johnson, Todd J. Martínez","Mark A. Johnson, Todd J. Martínez",1950–present,Annual Reviews (United States),Annually,12.703[1] (2020),12.703[1] (2020),Annu. Rev. Phys. Chem.,Annu. Rev. Phys. Chem.,ARPLAP,0066-426X (print)1545-1593 (web),a51001658,1373069,1373069,Annual Review of Physical Chemistry,"Annual Review of Physical Chemistry is a peer-reviewed scientific journal published by Annual Reviews. It covers all topics pertaining to physical chemistry. The editors are Mark A. Johnson (Yale University) and Todd J. Martínez (Stanford University).[2] The journal is indexed in the Science Citation Index Expanded and Chemical Abstracts Service.[3] As of 2021, Journal Citation Reports gives it a 2020 impact factor of 12.703.[1]
",,,,,,,,,,,,
16,Chemistry,English,Cornelis J. Elsevier,Cornelis J. Elsevier,1987–present,John Wiley & Sons,Monthly,3.581 (2017),3.581 (2017),Appl. Organomet. Chem.,Appl. Organomet. Chem.,AOCHEX,1099-0739,91649235,15586837,15586837,Applied Organometallic Chemistry,"Applied Organometallic Chemistry is a monthly peer-reviewed scientific journal published since 1987 by John Wiley & Sons. 
The editor-in-chief is Cornelis J. Elsevier (University of Amsterdam).
",,,,,,,,,,,,
17,Spectroscopy,English,,English,1967-present,Taylor and Francis,Bimonthly,2.915 (2012),2.915 (2012),Appl. Spectrosc. Rev.,Appl. Spectrosc. Rev.,,0570-4928 (print)1520-569X (web),,,0570-4928 (print)1520-569X (web),Applied Spectroscopy Reviews,"Applied Spectroscopy Reviews is a peer reviewed scientific journal that publishes review articles on all aspects of spectroscopy.
",,,,,,,,,,,,
18,Organic chemistry,English,,English,2000–present,Arkat USA,,1.253 (2018),1.253 (2018),Arkivoc,Arkivoc,AKVCFI,1551-7004 (print)1551-7012 (web),2007216062,443560056,443560056,Arkivoc,"Arkivoc (Archive for Organic Chemistry) is a peer-reviewed open access scientific journal covering all aspects of organic chemistry. It is published by the non-profit organization Arkat USA, which was established in 2000 through a personal donation from Alan R. Katritzky and Linde Katritzky. Arkivoc is the primary publication of Arkat USA. According to the Journal Citation Reports, the journal has a 2014 impact factor of 1.165, ranking it 37th out of 57 journals in the category ""Chemistry, Organic"".[1]
",,,Yes,,,,,,,,,
19,Chemistry,English,"George Koutsantonis, John Wade","George Koutsantonis, John Wade",1948–present,CSIRO Publishing (Australia),Monthly,1.226 (2018),1.226 (2018),Aust. J. Chem.,Aust. J. Chem.,AJCHAS,0004-9425 (print)1445-0038 (web),,960772449,960772449,Australian Journal of Chemistry,"The Australian Journal of Chemistry - an International Journal for Chemical Science is a monthly peer-reviewed scientific journal published by CSIRO Publishing. It was established in 1948 and covers all aspects of chemistry. The editors-in-chief are George Koutsantonis (University of Western Australia) and John Wade (University of Melbourne).
",,,,,,,,,,,,
20,Organic chemistry,English,Peter Seeberger,Peter Seeberger,2005–present,"Beilstein Institute for the Advancement of Chemical Sciences, until February 2008 in partnership with BioMed Central",,2.622 (2019),2.622 (2019),Beilstein J. Org. Chem.,Beilstein J. Org. Chem.,BJOCBH,1860-5397,2005243875,61387227,61387227,Beilstein Journal of Organic Chemistry,"The Beilstein Journal of Organic Chemistry is a peer-reviewed open-access scientific journal established in 2005. It is published by the Beilstein Institute for the Advancement of Chemical Sciences, a German non-profit foundation. The editor-in-chief is Peter Seeberger (Max Planck Institute of Colloids and Interfaces).
",,,Yes,,,,,,,,,
21,Biochemistry,English,David Carling,David Carling,1906–present,Portland Press,24/year,4.097 (2019),4.097 (2019),Biochem. J.,Biochem. J.,BIJOAK,0264-6021 (print)1470-8728 (web),26011128,01532962,01532962,Biochemical Journal,"The Biochemical Journal is a peer-reviewed scientific journal which covers all aspects of biochemistry, as well as cell and molecular biology. It is published by Portland Press and was established in 1906.
",,The Bio-Chemical Journal,After 12 months/hybrid,,,,,,,,,
22,Chemistry Molecular Biology,English,Vincent M. Rotello,Vincent M. Rotello,1990–present,American Chemical Society ( USA),Monthly,4.349 (2018),4.349 (2018),Bioconjugate Chem.,Bioconjug Chem,bcces,1043-1802 (print)1520-4812 (web),,,1043-1802 (print)1520-4812 (web),Bioconjugate Chemistry,"Bioconjugate Chemistry is a peer-reviewed scientific journal on bioconjugation, published since 1990 by the American Chemical Society. Bioconjugate Chemistry is currently indexed in the following archives: Chemical Abstracts Service (CAS), SCOPUS, EBSCOhost, ProQuest, British Library, PubMed, and Web of Science.
",,,,Bioconjug Chem,,,,,,,,
23,"Chemistry, polymer science",English,Ann-Christine Albertsson,Ann-Christine Albertsson,2000–present,American Chemical Society (United States),Monthly,5.667 (2018),5.667 (2018),Biomacromolecules,Biomacromolecules,bomaf6,1525-7797 (print)1526-4602 (web),,41669992,41669992,Biomacromolecules,"Biomacromolecules is a peer-reviewed scientific journal published since 2000 by the American Chemical Society. It is abstracted and indexed in Chemical Abstracts Service, Scopus, EBSCOhost, PubMed, and Science Citation Index Expanded. As of 2010[update], the editor in chief is Ann-Christine Albertsson. According to the Journal Citation Reports, the journal has a 2014 impact factor of 5.750.[1]
",,,,,,,,,,,,
24,Biochemistry,English,,English,1986–present,John Wiley & Sons,Monthly,1.723 (2014),1.723 (2014),Biomed. Chromatogr.,Biomed. Chromatogr.,BICHE2,0269-3879 (print)1099-0801 (web),,477216885,477216885,Biomedical Chromatography,"Biomedical Chromatography is a monthly peer-reviewed scientific journal, published since 1986 by John Wiley & Sons. It covers research on the applications of chromatography and allied techniques in the biological and medical sciences. The editor-in-chief is Michael Bartlett (University of Georgia).
",,,,,,,,,,,,
25,Molecular structure of organisms; drug action,English,,English,,Elsevier (U.S.),,3.641 (2020),3.641 (2020),Bioorg. Med. Chem.,Bioorg. Med. Chem.,,0968-0896,,,0968-0896,Bioorganic & Medicinal Chemistry,"Bioorganic & Medicinal Chemistry is a scientific journal focusing on the results of research on the molecular structure of biological organisms and the interaction of biological targets with chemical agents.[1] It is published by Elsevier, which also publishes the related journal Bioorganic & Medicinal Chemistry Letters.
",,,,,,,,,,,,
26,Molecular structure of organisms; drug action,English,,English,,Elsevier (U.S.A),,2.42 (2014),2.42 (2014),Bioorg. Med. Chem. Lett.,Bioorg. Med. Chem. Lett.,,0960-894X,,,0960-894X,Bioorganic & Medicinal Chemistry Letters,"Bioorganic & Medicinal Chemistry Letters is a scientific journal focusing on the results of research on the molecular structure of biological organisms and the interaction of biological targets with chemical agents. It is published by Elsevier, which also publishes Bioorganic & Medicinal Chemistry for longer works.
",,,,,,,,,,,,
27,Chemistry,English,,English,1926–present,Chemical Society of Japan (Japan),,4.488 (2019),4.488 (2019),Bull. Chem. Soc. Jpn.,Bull. Chem. Soc. Jpn.,BCSJA8,0009-2673,,,0009-2673,Bulletin of the Chemical Society of Japan,"Bulletin of the Chemical Society of Japan (日本化学会欧文誌, Nihon Kagakukai Ōbunshi) is a scientific journal, which was founded in 1926 by the Chemical Society of Japan. It publishes accounts, articles, and short articles in the fields of theoretical and physical chemistry, analytical and inorganic chemistry, organic and biological chemistry, and applied and materials chemistry.
",,,,,,,,,,,,
28,Chemistry,"English, French",Yining Huang,Yining Huang,1951-present,NRC Research Press (Canada),Monthly,1.171 (2019),1.171 (2019),Can. J. Chem.,Can. J. Chem.,CJCHAG,0008-4042 (print)1480-3291 (web),54024664,02248672,02248672,Canadian Journal of ChemistryRevue canadienne de chimie,"The Canadian Journal of Chemistry (fr. Revue canadienne de chimie) is a peer-reviewed scientific journal published by NRC Research Press. It was established in 1951 as the continuation of Canadian Journal of Research, Section B: Chemical Sciences. Papers are loaded to the web in advance of the printed issue and are available in both pdf and HTML formats.
",,,,,,,,,,,,
29,"Chemistry, catalysis",English,"Javier Pérez-Ramírez, ETH Zurich, Switzerland","Javier Pérez-Ramírez, ETH Zurich, Switzerland",2011-present,Royal Society of Chemistry (United Kingdom),Monthly,5.726 (2018),5.726 (2018),Catal. Sci. Technol.,Catal. Sci. Technol.,CSTAGD,2044-4753 (print)2044-4761 (web),,703389810,703389810,Catalysis Science & Technology,"Catalysis Science & Technology is a peer-reviewed scientific journal that is published monthly by the Royal Society of Chemistry.[1][2] The editor-in-chief is Javier Pérez-Ramírez (ETH Zurich, Switzerland).[3]
",,,Hybrid,,,,,,,,,
30,Chemistry,English,Joaquín Plumet,Joaquín Plumet,2003-present,Walter de Gruyter,Monthly,1.216 (2019),1.216 (2019),Open Chem.,Open Chem.,,1644-3624 (print)1895-1066 (web),,,1644-3624 (print)1895-1066 (web),Open Chemistry,"Open Chemistry is a monthly peer-reviewed open access scientific journal covering all fields of chemistry. It is published by Walter de Gruyter. The editor-in-chief is Joaquín Plumet, (Complutense University).
",,Central European Journal of Chemistry,Yes,,Creative Commons-BY-NC-ND,,,,,,,
31,Chemical biology,English,Ruben Ragg,Ruben Ragg,2000-present,Wiley-VCH,18/year,3.164 (2020),3.164 (2020),ChemBioChem,ChemBioChem,CBCHFX,1439-4227 (print)1439-7633 (web),,,1439-4227 (print)1439-7633 (web),ChemBioChem,"ChemBioChem is a peer-reviewed scientific journal covering chemical biology, synthetic biology, and bio-nanotechnology and published by Wiley-VCH on behalf of Chemistry Europe. The journal publishes communications, full papers, reviews, minireviews, highlights, concepts, book reviews, and conference reports. Viewpoints, correspondence, essays, web sites, and databases are also occasionally featured. It is abstracted and indexed in major databases and has been online-only since 2016.[1]
",,,,,,,,,,,,
32,Chemistry,English,,English,1989-present,Royal Society of Chemistry (United Kingdom),100/year,5.996 (2019),5.996 (2019),Chem. Commun.,Chem. Commun.,CHCOFS,1359-7345 (print)1364-548X (web),96660034,869930135,869930135,ChemComm,"ChemComm (or Chemical Communications), formerly known as Journal of the Chemical Society D: Chemical Communications (1969–1971), Journal of the Chemical Society, Chemical Communications (1972–1995),[1] is a peer-reviewed scientific journal published by the Royal Society of Chemistry.[2] It covers all aspects of chemistry. In January 2012, the journal moved to publishing 100 issues per year.[2] The current chair of the Editorial Board is Douglas Stephan (University of Toronto, Canada), while the executive editor is Richard Kelly.
",,"Journal of the Chemical Society D: Chemical Communications; Journal of the Chemical Society, Chemical Communications",,,,,,,,,,
33,"Chemical physics, physical chemistry",English,"D.C. Clary, B. Dietzek, K-L. Han, A. Karton","D.C. Clary, B. Dietzek, K-L. Han, A. Karton",1967-present,Elsevier,Biweekly,2.029 (2019),2.029 (2019),Chem. Phys. Lett.,Chem. Phys. Lett.,,0009-2614,,,0009-2614,Chemical Physics Letters,"Chemical Physics Letters is a biweekly peer-reviewed scientific journal covering research in chemical physics and physical chemistry. It was established in 1967 and is published by Elsevier. The editors-in-chief are David C. Clary, B. Dietzek, K-L. Han, and A. Karton.
",,,hybrid,,,,,,,,,
34,Chemistry,English,Sharon Hammes-Schiffer,Sharon Hammes-Schiffer,1924-present,American Chemical Society (United States),Biweekly,60.622 (2020),60.622 (2020),Chem. Rev.,Chem. Rev.,CHREAY,0009-2665 (print)1520-6890 (web),25015032,473768321,473768321,Chemical Reviews,"Chemical Reviews is peer-reviewed scientific journal published twice per month by the American Chemical Society. It publishes review articles on all aspects of chemistry. It was established in 1924 by William Albert Noyes (University of Illinois). As of 1 January 2015[update] the editor-in-chief is Sharon Hammes-Schiffer.[1]
",,,,,,,,,,,,
35,Chemistry,English,Andrew Ian Cooper,Andrew Ian Cooper,2010-present,Royal Society of Chemistry (United Kingdom),Weekly,9.346 (2019),9.346 (2019),Chem. Sci.,Chem. Sci.,CSHCCN,2041-6520 (print)2041-6539 (web),,648957145,648957145,Chemical Science,"Chemical Science is a weekly peer-reviewed scientific journal covering all aspects of chemistry. It is the flagship journal of the Royal Society of Chemistry.[1] It was established in July 2010 and is published by the Royal Society of Chemistry; before 2018, it was published monthly. It won the Best New Journal 2011 award from the Association of Learned and Professional Society Publishers.[2] The editor-in-chief is Andrew Ian Cooper (University of Liverpool).
",,,Yes,,Creative Commons Attribution 3.0,,,,,,,
36,Chemistry,English,Douglas Stephan,Douglas Stephan,1971-present,Royal Society of Chemistry (United Kingdom),Biweekly,54.564 (2020),54.564 (2020),Chem. Soc. Rev.,Chem. Soc. Rev.,CSRVBR,0306-0012 (print)1460-4744 (web),73640983,191709218,191709218,Chemical Society Reviews,"Chemical Society Reviews is a biweekly peer-reviewed scientific journal published by the Royal Society of Chemistry, for review articles on topics of current interest in chemistry. Its predecessors were Quarterly Reviews, Chemical Society (1947–1971) and Royal Institute of Chemistry, Reviews (1968–1971); it maintained its current title since 1971. According to the Journal Citation Reports, the journal has a 2020 impact factor of 54.564.[1] The current editor-in-chief (Chair of Editorial Board) is Douglas Stephan.
",,"Quarterly Reviews, Chemical Society; Royal Institute of Chemistry, Reviews",,,,,,,,,,
37,Chemistry,German,,German,1868 to 1945,Deutsche Chemische Gesellschaft (Germany),,,Deutsche Chemische Gesellschaft (Germany),Ber. Dtsch. Chem. Ges.,Ber. Dtsch. Chem. Ges.,BDCGAS,0365-9496,,,,Berichte der Deutschen Chemischen Gesellschaft,"Chemische Berichte (usually abbreviated as Ber. or Chem. Ber.) was a German-language scientific journal of all disciplines of chemistry founded in 1868. It was one of the oldest scientific  journals in chemistry, until it merged with Recueil des Travaux Chimiques des Pays-Bas to form Chemische Berichte/Recueil in 1997. Chemische Berichte/Recueil was then merged with other European journals in 1998 to form European Journal of Inorganic Chemistry.
",,,,,,,,,,,,
38,Chemistry education,English,Michael K. Seery,Michael K. Seery,2000-present,Royal Society of Chemistry (United Kingdom),Quarterly,1.941 (2016),1.941 (2016),Chem. Educ. Res. Pract.,Chem. Educ. Res. Pract.,CERPCE,1109-4028,,613094024,613094024,Chemistry Education Research and Practice,"Chemistry Education Research and Practice is a quarterly peer-reviewed open access academic journal published by the Royal Society of Chemistry covering chemistry education. The editor-in-chief is Keith S. Taber of the University of Cambridge. The Associate Editors are Ajda Kahveci of DePaul University, Scott E. Lewis of the University of South Florida, and Michael K. Seery of the University of Edinburgh. According to the Journal Citation Reports, the journal has a 2015 impact factor of 1.802.[1]
",,,Yes,,,,,,,,,
39,Chemistry,English,Haymo Ross,Haymo Ross,1995–present,Wiley-VCH on behalf of Chemistry Europe,Weekly,5.236 (2020),5.236 (2020),Chem. Eur. J.,Chemistry,CEUJED,0947-6539 (print)1521-3765 (web),sn95026440,32677914,32677914,Chemistry—A European Journal,"Chemistry—A European Journal is a weekly peer-reviewed scientific journal that covers all areas of chemistry and related fields. It is published by Wiley-VCH on behalf of Chemistry Europe. The editor-in-chief is Haymo Ross.
",,,,Chemistry,,,,,,,,
40,Chemistry,English,Mitsuhiko Shionoya,Mitsuhiko Shionoya,1972-present,Chemical Society of Japan (Japan),Monthly,1.550 (2015),1.550 (2015),Chem. Lett.,Chem. Lett.,CMLTAG,0366-7022,73644589,801836827,801836827,Chemistry Letters,"Chemistry Letters is a peer-reviewed scientific journal published by the Chemical Society of Japan. It specializes in the rapid publication of reviews and letters on all areas of chemistry. The editor-in-chief is Mitsuhiko Shionoya (University of Tokyo). According to the Journal Citation Reports, the journal has a 2014 impact factor of 1.23.[1]
",,,,,,,,,,,,
41,Chemistry,English,Sara E. Skrabalak,Sara E. Skrabalak,1989 to present,American Chemical Society (United States),biweekly,9.811 (2020),9.811 (2020),Chem. Mater.,Chem. Mater.,cmatex,0897-4756 (print)1520-5002 (web),,,0897-4756 (print)1520-5002 (web),Chemistry of Materials,"Chemistry of Materials is a peer-reviewed scientific journal, published since 1989 by the American Chemical Society. Chemistry of Materials is currently indexed in: Chemical Abstracts Service (CAS), SCOPUS, EBSCOhost, British Library, Swetswise, and Web of Science.  It was founded by Leonard V. Interrante, who was the Editor-in-Chief until 2013. Jillian M. Buriak took over as Editor-in-Chief in January 2014.Editor Profile - Chemistry of Materials - ACS Publications. She was followed by Sara E. Skrabalak, who assumed the position of Editor-in-Chief in November 2020. 
",,,,,,,,,,,,
42,Chemistry,English,Anne C. Deveson,Anne C. Deveson,2016–present,Wiley-VCH on behalf of Chemistry Europe,,2.109 (2020),2.109 (2020),ChemistrySelect,ChemistrySelect,,2365-6549,,,2365-6549,ChemistrySelect,"ChemistrySelect  is a peer-reviewed scientific journal covering all areas of chemistry and adjacent fields. It is published by Wiley-VCH on behalf of Chemistry Europe. The journal is indexed in the Science Citation Index Expanded and Scopus.[1]
",,,,,,,,,,,,
